"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"Direct effect",0.0115980578129729,0.0122375367315826,0.947744474019895,0.368010664363803,-0.0160851735593828,0.0392812891853287
"Capacity mediation",-0.393069299953143,0.480994557556234,-0.817201138304332,0.43491208275162,-1.48115458359593,0.695015983689645
