"prov","date","lfsstat","in_lfp","weight","age_12","marstat","educ","efamtype","immig","schooln","is_treated_province","post","treatment_date","treatment_group"
59,2019-04-01,1,1,90,5,1,5,3,2,1,TRUE,FALSE,"2021-11-01","2021-11-01"
12,2019-04-01,1,1,184,4,1,2,3,3,3,TRUE,FALSE,"2022-08-19","2022-08-19"
48,2019-04-01,1,1,145,5,1,5,3,1,1,TRUE,FALSE,"2022-10-28","2022-10-28"
46,2019-04-01,1,1,44,4,6,5,14,3,1,TRUE,FALSE,"2022-01-14","2022-01-14"
24,2019-04-01,1,1,802,6,1,6,3,1,1,TRUE,FALSE,"2022-03-23","2022-03-23"
47,2019-04-01,1,1,156,3,1,4,3,3,1,TRUE,FALSE,"2022-04-14","2022-04-14"
12,2019-04-01,1,1,163,5,1,4,3,3,1,TRUE,FALSE,"2022-08-19","2022-08-19"
59,2019-04-01,2,1,111,4,2,1,3,3,1,TRUE,FALSE,"2021-11-01","2021-11-01"
48,2019-04-01,1,1,97,3,1,5,3,3,1,TRUE,FALSE,"2022-10-28","2022-10-28"
24,2019-04-01,2,1,171,3,2,5,3,3,1,TRUE,FALSE,"2022-03-23","2022-03-23"
24,2019-04-01,4,0,831,5,1,6,16,1,2,TRUE,FALSE,"2022-03-23","2022-03-23"
47,2019-04-01,1,1,130,4,1,4,3,3,1,TRUE,FALSE,"2022-04-14","2022-04-14"
13,2019-04-01,1,1,98,4,2,3,3,3,1,TRUE,FALSE,"2022-03-18","2022-03-18"
12,2019-04-01,4,0,211,5,1,4,6,3,2,TRUE,FALSE,"2022-08-19","2022-08-19"
35,2019-04-01,4,0,123,3,2,4,6,3,1,TRUE,FALSE,"2023-03-28","2023-03-28"
35,2019-04-01,1,1,272,5,2,5,3,3,1,TRUE,FALSE,"2023-03-28","2023-03-28"
