rel_time_num,estimate,se,p_value,conf.low,conf.high
-44,0.005605474152585953,0.010385276966246672,0.5893680643462329,-0.014749668701257521,0.025960617006429428
-43,-0.00791294964165516,0.007186423586203507,0.2708544310628727,-0.02199833987061403,0.006172440587303712
-42,0.014206230722297004,0.01297569254028336,0.2735893222197534,-0.011226126656658383,0.03963858810125239
-41,-0.0027689961728117702,0.004071694853023727,0.49646656833449565,-0.010749518084738275,0.005211525739114735
-40,0.0057443403090352,0.02577529260723629,0.8236426993769789,-0.04477523320114793,0.05626391381921833
-39,6.641859700673896e-4,0.008561529553194244,0.938163777428196,-0.01611641195419333,0.017444783894328107
-38,0.010075516114261553,0.01918707779005822,0.5994998523739474,-0.02753115635425256,0.04768218858277566
-37,-0.006046728350926901,0.021136947827700567,0.7748215484446703,-0.04747514609322001,0.03538168939136621
-36,0.0040903766898075875,0.010636287146105981,0.7005574356960163,-0.016756746116560133,0.02493749949617531
-35,-2.8308213534952655e-4,0.02593401778591983,0.9912908835827229,-0.051113756995752394,0.05054759272505334
-34,0.0018975651489440964,0.008612362007556289,0.825613847604691,-0.014982664385866228,0.01877779468375442
-33,-0.008076932566036768,0.0075613303109306265,0.28543510447338727,-0.022897139975460796,0.00674327484338726
-32,0.007329126475932781,0.008507044677694487,0.38894282280576586,-0.009344681092348414,0.024002934044213976
-31,0.00431256785706404,0.013329850998286517,0.7462960975007491,-0.02181394009957753,0.030439075813705613
-30,-0.004923552429406968,0.014114613044509667,0.727219494965601,-0.03258819399664591,0.02274108913783198
-29,0.004383501892310655,0.012114336398957282,0.717468489203149,-0.01936059744964562,0.028127601234266927
-28,-0.006712150450121969,0.009485861959655143,0.4791966706079293,-0.025304439891046047,0.01188013899080211
-27,-0.008729368108601266,0.017387299936982733,0.6156293493713918,-0.04280847598508743,0.02534973976788489
-26,0.010617534515852982,0.022525847126026614,0.6373915611357284,-0.03353312585115918,0.05476819488286515
-25,-0.007445129584067645,0.004776801173011468,0.11909072231828881,-0.016807659883170123,0.0019174007150348314
-24,-0.006862740636530423,0.007995722943106215,0.39072602617940283,-0.022534357605018603,0.008808876331957758
-23,0.008519415730081465,0.008879321125208724,0.33732352916890695,-0.008884053675327635,0.025922885135490563
-22,0.002426632740814457,0.007772198223847867,0.7548736257191659,-0.012806875777927362,0.017660141259556277
-21,-0.007678356533732757,0.014093187555450444,0.5858721440741654,-0.03530100414241563,0.019944291074950115
-20,0.00691197094844654,0.012630748818570172,0.5842182115391006,-0.017844296735950997,0.03166823863284408
-19,-0.011784942664959393,0.009957412571907756,0.2365973279701005,-0.031301471305898595,0.00773158597597981
-18,0.0013494419405316242,0.008126319590500244,0.8681111550611631,-0.014578144456848855,0.017277028337912104
-17,-0.009426983958784507,0.013395716542142009,0.4816001733502223,-0.03568258838138284,0.01682862046381383
-16,0.00269296714306721,0.009486155414847918,0.7764993269663516,-0.01589989747003471,0.021285831756169125
-15,0.002647526860833198,0.01285539126003723,0.8368324576159331,-0.022549040008839775,0.02784409373050617
-14,0.007969889764988277,0.009524416826254229,0.4027133931227144,-0.010697967214470012,0.026637746744446564
-13,-0.005604308274865696,0.0090135682104816265,0.5340973495697989,-0.023270901967409684,0.012062285417678294
-12,0.0047542612816449635,0.011332416026132643,0.674830589125955,-0.017457274129575016,0.026965796692864943
-11,0.009754134852608152,0.009338157357186601,0.29623285146920786,-0.008548653567477586,0.02805692327269389
