subgroup,estimate,se,p_value,ci_lower,ci_upper,n_observations
Full Sample,0.016414788123159146,0.014404669196002416,0.2544753500323838,-0.01181836350100559,0.04464793974732388,352851
Lone Parent,0.025367032879697007,0.02108649878732559,0.22897678230926122,-0.01596250474346115,0.06669657050285516,118497
Not Lone Parent,-0.003537191868221262,0.005560128639482278,0.524665058113067,-0.014435044001606527,0.007360660265164002,234354
High Education,0.013892857959188511,0.014248320844288813,0.3295343196449114,-0.01403385089561756,0.04181956681399458,297408
Low Education,0.037668031236199266,0.03420808589530717,0.27083395535064175,-0.029379817118602776,0.10471587959100132,55443
